Post_ID,Dominant_Topic,Topic_Proportion,Topics
56462348,9,0.652447,9(0.652447) 6(0.235874) 4(0.064089) 2(0.045118) 7(0.001101) 5(0.000513) 3(0.000327) 1(0.000251) 0(0.000168) 8(0.000113)
56487777,9,0.737302,9(0.737302) 4(0.258958) 8(0.001068) 1(0.001036) 6(0.000565) 3(0.000306) 0(0.000299) 5(0.000234) 7(0.000125) 2(0.000106)
56496643,0,0.333131,0(0.333131) 1(0.332903) 7(0.133537) 3(0.080730) 8(0.058260) 4(0.039091) 9(0.022002) 6(0.000127) 2(0.000124) 5(0.000095)
56498019,0,0.557748,0(0.557748) 4(0.201265) 1(0.120794) 6(0.113723) 2(0.005032) 3(0.000441) 9(0.000426) 8(0.000220) 5(0.000180) 7(0.000172)
56500147,1,0.691625,1(0.691625) 0(0.305108) 3(0.000887) 5(0.000662) 8(0.000644) 9(0.000490) 4(0.000290) 7(0.000163) 6(0.000079) 2(0.000052)
56505189,4,0.390961,4(0.390961) 6(0.309248) 2(0.184025) 7(0.093244) 9(0.019830) 3(0.001417) 1(0.000439) 0(0.000343) 8(0.000279) 5(0.000214)
56507204,0,0.541591,0(0.541591) 3(0.453462) 8(0.001839) 1(0.001529) 5(0.000633) 2(0.000289) 9(0.000289) 4(0.000179) 7(0.000160) 6(0.000029)
56513863,4,0.406937,4(0.406937) 8(0.340005) 0(0.244867) 9(0.001801) 3(0.001562) 1(0.001361) 5(0.001251) 6(0.001001) 7(0.000855) 2(0.000360)
56522258,4,0.648223,4(0.648223) 9(0.197155) 2(0.153026) 7(0.000400) 0(0.000389) 6(0.000284) 1(0.000265) 5(0.000126) 8(0.000080) 3(0.000054)
56529189,1,0.564915,1(0.564915) 9(0.350316) 5(0.072856) 2(0.010040) 6(0.000522) 0(0.000512) 4(0.000332) 8(0.000241) 7(0.000149) 3(0.000116)
56533059,3,0.614904,3(0.614904) 0(0.366663) 9(0.006213) 1(0.004592) 6(0.002936) 8(0.002230) 5(0.001318) 4(0.000451) 2(0.000385) 7(0.000309)
56533511,8,0.881567,8(0.881567) 6(0.056663) 0(0.037264) 1(0.020786) 5(0.001703) 9(0.001108) 4(0.000363) 3(0.000332) 7(0.000120) 2(0.000093)
56545572,3,0.789695,3(0.789695) 0(0.166862) 6(0.039701) 8(0.002613) 7(0.000401) 5(0.000223) 4(0.000154) 1(0.000152) 9(0.000124) 2(0.000075)
56548040,4,0.496682,4(0.496682) 1(0.232626) 9(0.197060) 2(0.069925) 5(0.001195) 0(0.000802) 3(0.000505) 7(0.000444) 6(0.000437) 8(0.000325)
56551108,6,0.921122,6(0.921122) 2(0.058438) 1(0.010541) 0(0.002638) 7(0.002388) 3(0.001758) 9(0.001059) 8(0.000914) 5(0.000841) 4(0.000302)
56551131,1,0.506005,1(0.506005) 9(0.185115) 0(0.170232) 4(0.127055) 7(0.006072) 8(0.003411) 3(0.001373) 2(0.000399) 5(0.000170) 6(0.000168)
56552993,8,0.506992,8(0.506992) 4(0.460545) 1(0.031130) 0(0.000550) 3(0.000188) 7(0.000166) 9(0.000156) 5(0.000108) 2(0.000096) 6(0.000068)
56555709,0,0.362928,0(0.362928) 9(0.273035) 4(0.235607) 1(0.127321) 8(0.000331) 7(0.000246) 3(0.000224) 5(0.000172) 6(0.000082) 2(0.000054)
56570134,0,0.373859,0(0.373859) 2(0.296168) 6(0.216056) 5(0.060802) 3(0.049931) 7(0.001312) 9(0.000825) 1(0.000496) 8(0.000346) 4(0.000205)
56571316,2,0.483802,2(0.483802) 4(0.394677) 0(0.118560) 7(0.001173) 6(0.000576) 9(0.000326) 3(0.000317) 5(0.000225) 8(0.000173) 1(0.000171)
56573246,4,0.474991,4(0.474991) 1(0.353270) 8(0.162507) 5(0.004796) 3(0.002424) 7(0.000652) 2(0.000632) 0(0.000296) 9(0.000292) 6(0.000140)
56579501,4,0.878031,4(0.878031) 8(0.063640) 5(0.046371) 6(0.009195) 3(0.000894) 2(0.000733) 1(0.000443) 7(0.000305) 9(0.000257) 0(0.000129)
