+-------+-----------+-----------+------------+
| TOPIC | AVG  VIEW | AVG  FAV  | AVG  SCORE |
+-------+-----------+-----------+------------+
|    17 |    2437.2 |       0.7 |        3.9 |
|     8 |    2060.4 |       0.7 |        2.2 |
|    16 |    1855.8 |       0.3 |        3.1 |
|    20 |    1807.1 |       0.8 |        3.1 |
|    10 |    1731.1 |       0.7 |        3.8 |
|    19 |    1546.0 |       0.7 |        2.8 |
|     6 |    1371.9 |       0.8 |        2.1 |
|    14 |    1344.6 |       0.4 |        2.2 |
|     5 |    1167.9 |       0.5 |        2.0 |
|    22 |    1148.8 |       0.5 |        2.1 |
|    18 |    1104.0 |       0.9 |        2.8 |
|     2 |    1014.4 |       0.4 |        1.3 |
|     4 |     969.2 |       0.3 |        1.2 |
|     0 |     964.9 |       0.6 |        2.1 |
|    15 |     945.7 |       0.4 |        1.3 |
|    21 |     932.3 |       0.5 |        1.5 |
|    12 |     931.4 |       0.6 |        2.1 |
|     7 |     926.0 |       0.4 |        1.4 |
|     9 |     863.4 |       0.3 |        1.7 |
|     1 |     857.8 |       0.5 |        1.3 |
|     3 |     852.5 |       0.3 |        1.1 |
|    13 |     737.9 |       0.6 |        1.5 |
|    11 |     547.3 |       0.2 |        0.5 |
+-------+-----------+-----------+------------+
