+-------+-----------+-----------+------------+
| TOPIC | AVG  VIEW | AVG  FAV  | AVG  SCORE |
+-------+-----------+-----------+------------+
|     3 |    1961.4 |       0.5 |        3.1 |
|     2 |    1895.1 |       0.8 |        3.8 |
|    15 |    1883.2 |       1.6 |        4.8 |
|    16 |    1874.4 |       0.8 |        3.2 |
|    17 |    1752.8 |       0.8 |        3.4 |
|    11 |    1668.3 |       0.8 |        4.5 |
|    19 |    1640.4 |       0.7 |        2.2 |
|    12 |    1542.1 |       0.4 |        2.2 |
|     8 |    1449.6 |       0.5 |        2.5 |
|     7 |    1195.6 |       0.3 |        1.8 |
|     0 |    1063.9 |       0.6 |        2.8 |
|    18 |    1053.0 |       0.4 |        1.8 |
|    13 |    1009.8 |       0.7 |        2.0 |
|    10 |     974.4 |       0.3 |        1.2 |
|     5 |     956.5 |       0.8 |        1.6 |
|     9 |     930.9 |       0.4 |        1.8 |
|     6 |     910.9 |       0.4 |        1.3 |
|     1 |     862.4 |       0.2 |        0.7 |
|    14 |     787.5 |       0.1 |        0.9 |
|     4 |     740.6 |       0.3 |        1.3 |
+-------+-----------+-----------+------------+
