+-------+-------+------------+
| TOPIC | POSTS | PERCENTAGE |
+-------+-------+------------+
|     0 |   293 |       13.0 |
|    14 |   150 |        6.6 |
|    11 |   136 |        6.0 |
|     9 |   132 |        5.8 |
|     4 |    99 |        4.4 |
|    27 |    95 |        4.2 |
|    32 |    90 |        4.0 |
|     8 |    79 |        3.5 |
|    17 |    78 |        3.5 |
|    13 |    74 |        3.3 |
|    20 |    70 |        3.1 |
|    19 |    68 |        3.0 |
|    16 |    68 |        3.0 |
|     5 |    67 |        3.0 |
|    26 |    60 |        2.7 |
|    31 |    57 |        2.5 |
|    10 |    57 |        2.5 |
|     3 |    49 |        2.2 |
|    24 |    45 |        2.0 |
|    15 |    40 |        1.8 |
|     7 |    40 |        1.8 |
|    34 |    37 |        1.6 |
|    28 |    36 |        1.6 |
|    18 |    36 |        1.6 |
|    33 |    35 |        1.6 |
|     2 |    32 |        1.4 |
|    23 |    31 |        1.4 |
|    29 |    31 |        1.4 |
|    21 |    30 |        1.3 |
|     6 |    30 |        1.3 |
|    12 |    29 |        1.3 |
|    22 |    27 |        1.2 |
|    30 |    20 |        0.9 |
|    25 |    19 |        0.8 |
|     1 |    17 |        0.8 |
+-------+-------+------------+
