Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"56462348","1","","","2019-06-05 14:15:51","","7","1752","<p>I'm inspecting <a href=""https://developer.apple.com/documentation/combine"" rel=""noreferrer"">Combine</a>, a new framework by Apple. I created a playground, ran it in macOS Mojave 10.14.5 and Xcode 11.0 beta (11M336w).</p>

<p>Here is my code:
</p>

<pre><code>import Combine

struct Article: Identifiable {

    var id: Int
    var title: String
}

final class Data: BindableObject {

    let didChange = PassthroughSubject&lt;Data, Never&gt;()

    var showFavouriteOnly = false {
        didSet {
            didChange.send(self)
        }
    }
    var articles: [Article] = [.init(id: 1, title: ""WWDC 2018""),
                               .init(id: 2, title: ""WWDC 2019"")] {
        didSet {
            didChange.send(self)
        }
    }
}
</code></pre>

<p>But it fails with log:</p>

<blockquote>
  <p>error: Couldn't lookup symbols:
    Combine.PassthroughSubject.send(A) -> ()</p>
</blockquote>

<p>What am I doing wrong?</p>
","3514372","","","","","2020-11-11 14:13:53","Combine in Playgrounds","<swift><swift-playground><combine>","2","5","1","","","CC BY-SA 4.0"
"56496643","1","","","2019-06-07 14:52:04","","2","846","<p>I constructed a BindableObject tied to my custom view. </p>

<p>I wanna update the array of items in this class </p>

<pre><code>    // in my vm:

    class ViewModel {
        func fetched() {
            listView.listData.items = viewModel.listItems
        }
    }



    final class ListData: BindableObject {

        var didChange = PassthroughSubject&lt;ListData, Never&gt;()

        var items: [ListItem] = [] {
            didSet {
                didChange.send(self)
            }
        }
    }
</code></pre>

<p>I have a viewModel where I do my fetching because I would like to not have to inject a service into this ListData class. This is because I don't wan't it do any fetching I wanna keep that in my view model.</p>

<p>But when I try to update the ListData.Items in my VM I get this error:
    Reading EnvironmentObject outside View.body: file</p>

<p>Are you only allowed to update this variable inside the body of this new view class? In that case are you suppose to do all your network stuff inside a BindableObject?</p>

<p>Haven't found any documentation on the best practice of this yet.</p>
","3418097","","","","","2019-06-07 14:52:04","Reading EnvironmentObject<T> outside View.body","<swift><swiftui><combine>","0","4","2","","","CC BY-SA 4.0"
"56505189","1","56505224","","2019-06-08 09:40:36","","3","1604","<p>I'm trying to use the new <strong>Combine</strong> framework with the <strong>Notification Center</strong> as Apple explained in this video:
<a href=""https://developer.apple.com/videos/play/wwdc2019/721/"" rel=""nofollow noreferrer"">https://developer.apple.com/videos/play/wwdc2019/721/</a></p>

<p>You can find it in the slide 21.</p>

<p>It seems that my project does not read the Combine framework apis.</p>

<pre><code>import Combine
import Foundation

let trickNamePublisher = NotificationCenter.default.publisher(for: .newTrickDownloaded)
</code></pre>

<p>And i'm getting this error:</p>

<p><strong>Value of type 'NotificationCenter' has no member 'publisher'</strong></p>
","6747915","","6747915","","2019-06-08 09:47:15","2019-06-18 23:46:44","iOS Swift: Value of type 'NotificationCenter' has no member 'publisher'","<ios><swift><combine>","2","0","1","","","CC BY-SA 4.0"
"56522258","1","56522391","","2019-06-10 07:31:14","","9","3609","<p>I watched the WWDC 2019 session ""Combine in Practice"" (<a href=""https://developer.apple.com/videos/play/wwdc2019/721/"" rel=""noreferrer"">https://developer.apple.com/videos/play/wwdc2019/721/</a>).</p>

<p>In the video they used the following syntax to create a publisher:</p>

<pre class=""lang-swift prettyprint-override""><code>@Published var someName: String = """"
</code></pre>

<p>They did this so that <code>someName</code> becomes a publisher. However, Xcode doesn't like this syntax and gives me an error:</p>

<blockquote>
  <p>Unknown attribute 'Published</p>
</blockquote>

<p>I have no idea why. I'm using the Xcode 11 beta on macOS Catalina.</p>

<p>Any ideas?</p>
","3134192","","1045055","","2019-06-10 08:32:22","2019-06-25 20:07:24","IOS 13 Combine Framework - @Published not working (""Unknown attribute 'Published'"")","<ios><swift><combine>","2","0","","","","CC BY-SA 4.0"
"56529189","1","","","2019-06-10 15:22:48","","15","4627","<p>I've been playing around with SwiftUI and Combine and feel like there is probably a way to get a hold of the existing @State properties in a view and create a new one.</p>

<p>For example, I have a password creation View which holds a password and a passwordConfirm field for the user. I want to take those two @State properties and derive a new @State that I can use in my view that asserts if the input is valid. So for simplicity: not empty and equal.</p>

<p>The Apple docs say <a href=""https://developer.apple.com/documentation/swiftui/binding/3264174-publisher"" rel=""noreferrer"">there is a publisher</a> on a binding, though I can't appear to get ahold of it.</p>

<p>This is some non-functioning pseudo code:</p>

<pre class=""lang-swift prettyprint-override""><code>import SwiftUI
import Combine

struct CreatePasswordView : View {
    @State var password = """"
    @State var confirmation = """"
    lazy var valid = {
        return self.$password.publisher()
            .combineLatest(self.$confirmation)
            .map { $0 != """" &amp;&amp; $0 == $1 }
    }

    var body: some View {
        SecureField($password, placeholder: Text(""password""))

        SecureField($confirmation, placeholder: Text(""confirm password""))

        NavigationButton(destination: NextView()) { Text(""Done"") }
            .disabled(!valid)
    }
}
</code></pre>

<p>Anyone found. the appropriate way of going about this / if it's possible?</p>

<p>UPDATE Beta 2:</p>

<p>As of beta 2 publisher is available so the first half of this code now works. The second half of using the resulting publisher within the View I've still not figured out (<code>disabled(!valid)</code>).</p>

<pre class=""lang-swift prettyprint-override""><code>import SwiftUI
import Combine

struct CreatePasswordView : View {
    @State var password = """"
    @State var confirmation = """"

    lazy var valid = {
        Publishers.CombineLatest(
            password.publisher(),
            confirmation.publisher(),
            transform: { String($0) != """" &amp;&amp; $0 == $1 }
        )
    }()

    var body: some View {
        SecureField($password, placeholder: Text(""password""))

        SecureField($confirmation, placeholder: Text(""confirm password""))

        NavigationButton(destination: NextView()) { Text(""Done"") }
            .disabled(!valid)
    }
}
</code></pre>

<p>Thanks.</p>
","1560414","","1560414","","2019-06-19 07:34:54","2021-06-16 19:27:18","Deriving binding from existing SwiftUI @States","<swift><swiftui><combine>","2","2","2","","","CC BY-SA 4.0"
"56548040","1","56548508","","2019-06-11 16:24:45","","4","1352","<p>I've been trying to follow the 'Introducing SwiftUI - Building Your First App' WWDC 19 video. No sample code is provided for this talk but I've been creating it as the presenter goes along. When trying to create a store though I get an  error that 'Cannot invoke 'send' with no arguments' from the line: </p>

<pre><code>didSet { didChange.send() }
</code></pre>

<p>I'm new to programming and struggling to troubleshoot. </p>

<pre><code>import SwiftUI
import Combine

class ReferenceStore : BindableObject {
    var references: [Reference] {
        didSet { didChange.send() }
    }

    init(references: [Reference] = []) {
        self.references = references
    }

    var didChange = PassthroughSubject&lt;Void, Never&gt;()
}
</code></pre>

<p>I'm using Xcode 11 beta and MacOS Catalina if it helps.</p>
","11632288","","","","","2019-07-25 19:21:49","How to fix ""Cannot invoke 'send' with no arguments"" in Swift 5.1","<swift><swiftui><combine>","3","0","","","","CC BY-SA 4.0"
"56551108","1","56551175","","2019-06-11 20:14:06","","7","2699","<p>I am using Combine and SwiftUI to do some async stuff, the point is that I don't know how to receive the response from the asynchronous operation in the main thread. The <a href=""https://developer.apple.com/documentation/combine/publisher/3204743-receive"" rel=""noreferrer"">apple doc</a> says that it can be used the RunLoop.main, but currently in Swift 5.0 it isn't a Scheduler. So any ideas about this?</p>

<p>I have tried to use as per apple doc, but no luck.</p>

<pre class=""lang-swift prettyprint-override""><code>anyPublisher
    .receiveOn(on: RunLoop.main)
</code></pre>
","4536762","","","","","2019-06-17 18:55:19","How to change thread using combine Publisher?","<swift><swiftui><combine>","1","1","","","","CC BY-SA 4.0"
"56551131","1","56551323","","2019-06-11 20:16:04","","53","20679","<p><a href=""https://developer.apple.com/tutorials/swiftui/handling-user-input"" rel=""noreferrer"">This tutorial by Apple about SwiftUI</a> uses a dollar sign to bind data, and I‘m having trouble finding more information about this data binding in SwiftUI.</p>

<pre><code>Toggle(isOn: $showFavoritesOnly) {
</code></pre>

<blockquote>
  <p>You use the $ prefix to access a binding to a state variable, or one of its properties.</p>
</blockquote>

<p>Is this some sort of <code>inout</code> type parameter? That uses the ampersand to pass it on.</p>
","1009013","","1265393","","2022-04-15 19:48:03","2022-04-15 19:48:03","What does the dollar sign do in Swift / SwiftUI?","<swift><swiftui><combine>","2","1","5","","","CC BY-SA 4.0"
"56552993","1","56612756","","2019-06-11 23:51:15","","4","1519","<p>I was experimenting with SwiftUI and came across a problem while implementing the data model for one of my List. My plan was to create a protocol <code>CardProtocol</code> as the data protocol for the elements of my lists and then have a CoreData implementation of the protocol as well as a dummy one for unit testing and Canvas use. If you are using a data collection in SwiftUI <code>List</code> the single elements need to conform to the <code>Identifiable</code> protocol.  </p>

<p>The code looks like this:</p>

<pre><code>import SwiftUI
import Combine


final class CardsModel: BindableObject {
    var cards: [CardProtocol] = []
    let didChange = PassthroughSubject&lt;CardsModel, Never&gt;()
}

protocol CardProtocol: Identifiable {
    var id: Int { get set }
    var firstName: String? { get set }
    var lastName: String? { get set }
    var email: String? { get set }
    var phone: String? { get set }
}
</code></pre>

<p>This will not even compile as the <code>Identifiable</code> protocol has 2 associated types which needs to be specified if the protocol is to be used for a variable definition.</p>

<pre><code>/// A type that can be compared for identity equality.
public protocol Identifiable {

    /// A type of unique identifier that can be compared for equality.
    associatedtype ID : Hashable

    /// A unique identifier that can be compared for equality.
    var id: Self.ID { get }

    /// The type of value identified by `id`.
    associatedtype IdentifiedValue = Self

    /// The value identified by `id`.
    ///
    /// By default this returns `self`.
    var identifiedValue: Self.IdentifiedValue { get }
}
</code></pre>

<p>The exact error being <code>error: protocol 'CardProtocol' can only be used as a generic constraint because it has Self or associated type requirements</code>.
Now <code>ID</code> is not an issue and can be fixed, but <code>IdentifiedValue</code> it's by nature different in the CoreData and the dummy implementation.</p>

<p>The only reasonable solution that I found was to remove compliance to <code>Identifiable</code> from the protocol and reintroduce it later in the View using <code>cardsModel.cards.identified(by: \.id)</code>. Is there any better way out of this, that let me keep the Identifiable compliance at protocol level?</p>
","2028375","","2028375","","2019-06-15 16:30:27","2019-06-15 17:44:22","Indentifiable Protocol extension for SwiftUI list data","<ios><swift><swiftui><combine>","2","2","","","","CC BY-SA 4.0"
"56570134","1","","","2019-06-12 20:46:52","","6","6144","<p>As I port some Objective-C code to Swift, I'm trying to better understand the new <code>Combine</code> framework and how I can use it to re-create a common design pattern. </p>

<p>In this case, the design pattern is a single object (Manager, Service, etc) that any number of ""clients"" can register with as a delegate to receive callbacks. It's a basic 1:Many pattern using delegates. </p>

<p><code>Combine</code> looks ideal for this, but the sample code is a bit thin. Below is a working example but I'm not sure if it's correct or being used as intended. In particular, I'm curious about reference cycles between the objects. </p>

<pre><code>class Service {

  let tweets = PassthroughSubject&lt;String, Never&gt;()

  func start() {
    // Simulate the need send to send updates.
    DispatchQueue.global(qos: .utility).async {
      while true {
        self.sendTweet()
        usleep(100000)
      }
    }
  }

  func sendTweet() {
    tweets.send(""Message \(Date().timeIntervalSince1970)"")
  }
}

class Client : Subscriber {
  typealias Input = String
  typealias Failure = Never

  let service:Service
  var subscription:Subscription?

  init(service:Service) {
    self.service = service

   // Is this a retain cycle?
   // Is this thread-safe? 
    self.service.tweets.subscribe(self) 
  }

  func receive(subscription: Subscription) {
    print(""Received subscription: \(subscription)"")

    self.subscription = subscription
    self.subscription?.request(.unlimited)
  }

  func receive(_ input: String) -&gt; Subscribers.Demand {
    print(""Received tweet: \(input)"")
    return .unlimited
  }

  func receive(completion: Subscribers.Completion&lt;Never&gt;) {
    print(""Received completion"")
  }
}

// Dependency injection is used a lot throughout the 
// application in a similar fashion to this:

let service = Service()
let client = Client(service:service)

// In the real world, the service is started when
// the application is launched and clients come-and-go.

service.start()
</code></pre>

<hr>

<p>Output is: </p>

<pre><code>Received subscription: PassthroughSubject
Received tweet: Message 1560371698.300811
Received tweet: Message 1560371698.4087949
Received tweet: Message 1560371698.578027
...
</code></pre>

<p>Is this even remotely close to how <code>Combine</code> was intended to be used? </p>
","48321","","310175","","2019-06-20 18:27:44","2020-08-18 11:50:45","Skeleton Example for Swift Combine Publisher-Subscriber","<swift><publish-subscribe><swift5><combine>","2","3","4","","","CC BY-SA 4.0"
